8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,-0.0160650464873372 + 0.0219682855229178i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,0.773020682523926 - 0.773020682523926i,,0.773020682523926 - 0.773020682523926i,,-0.0430556264723201 + 0.00637954508420268i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.552157630374233 + 1.21474678682331i,,-0.552157630374233 + 1.21474678682331i,,-0.0331456303681194 - 0.00552427172801990i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.552157630374233 - 0.773020682523926i,,0.552157630374233 - 0.773020682523926i,,0.0313239232585831 + 0.00750431239150208i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,0.773020682523926 + 0.110431526074847i,,0.773020682523926 + 0.110431526074847i,,0.0407826750814748 + 0.0163244365339686i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.993883734673619 + 0.110431526074847i,,-0.993883734673619 + 0.110431526074847i,,0.00355114865451289 + 0.0292386884008950i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.773020682523926 - 0.331294578224540i,,-0.773020682523926 - 0.331294578224540i,,0.0328636695112875 + 0.0207486305052422i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,0.0560764708333234 - 0.0199126463822189i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,1.21474678682331 - 0.773020682523926i,,1.21474678682331 - 0.773020682523926i,,0.00292217230963937 - 0.0200101137493304i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,-0.0117902254531578 + 0.0103777294308751i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-1.21474678682331 + 0.552157630374233i,,-1.21474678682331 + 0.552157630374233i,,0.0125343748600076 + 0.0114555411732865i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,0.110431526074847 + 0.552157630374233i,,0.110431526074847 + 0.552157630374233i,,-0.00774847480757065 + 0.0259906224185333i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.552157630374233 + 0.773020682523926i,,0.552157630374233 + 0.773020682523926i,,-0.0142267613415856 + 0.0474889716399696i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.331294578224540 - 0.110431526074847i,,-0.331294578224540 - 0.110431526074847i,,0.00500147864949729 + 0.0155273290158780i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,-0.00215819298678287 - 0.00272067751154899i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,-1.21474678682331 - 0.331294578224540i,,-1.21474678682331 - 0.331294578224540i,,0.00737726211751434 + 0.0365019890613246i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,0.0224631265844195 + 0.0495208922901342i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.552157630374233 + 0.331294578224540i,,0.552157630374233 + 0.331294578224540i,,-0.00795285946742290 + 0.0126991767853463i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.773020682523926 - 0.773020682523926i,,-0.773020682523926 - 0.773020682523926i,,-0.0238045015757605 - 0.0178924590597234i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.552157630374233 - 0.331294578224540i,,0.552157630374233 - 0.331294578224540i,,6.49385242348678e-05 - 0.00997738865800902i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,-1.21474678682331 - 0.331294578224540i,,-1.21474678682331 - 0.331294578224540i,,0.0143757371938865 + 0.0212862429214365i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.552157630374233 - 0.331294578224540i,,-0.552157630374233 - 0.331294578224540i,,0.0126542694299317 + 0.0268491135136586i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-1.21474678682331 - 0.331294578224540i,,-1.21474678682331 - 0.331294578224540i,,-0.00373751414920350 + 0.00535422776004440i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.331294578224540 + 0.552157630374233i,,-0.331294578224540 + 0.552157630374233i,,-0.0278087441832221 - 0.00544403596428843i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.0351419112454571 - 0.0131984786601285i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,-0.0203843480323213 - 0.0221529006142588i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,0.0220282753245519 - 0.0225839570154632i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.552157630374233 - 0.552157630374233i,,0.552157630374233 - 0.552157630374233i,,0.0458393947817955 - 0.0202898822474604i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.331294578224540 + 0.993883734673619i,,0.331294578224540 + 0.993883734673619i,,-0.00557628500258951 - 0.00616966760347648i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.552157630374233 + 0.993883734673619i,,0.552157630374233 + 0.993883734673619i,,-0.0487585743604265 - 0.0128838042726383i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,0.110431526074847 + 0.993883734673619i,,0.110431526074847 + 0.993883734673619i,,-0.0210586986045630 - 0.0500635454112429i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.773020682523926 + 0.773020682523926i,,-0.773020682523926 + 0.773020682523926i,,-0.00651209846034171 - 0.0198113897559799i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,-0.0206084854300031 + 0.0372845105555910i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.773020682523926 - 0.110431526074847i,,0.773020682523926 - 0.110431526074847i,,-0.0104264413210561 - 0.0140505490751385i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.993883734673619 + 0.331294578224540i,,-0.993883734673619 + 0.331294578224540i,,0.00181432067995025 - 0.0623037010480697i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,0.000825120678012287 + 0.000282691415441677i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-1.21474678682331 - 0.110431526074847i,,-1.21474678682331 - 0.110431526074847i,,-0.00491613504240363 + 0.0377916165157595i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-1.21474678682331 + 0.331294578224540i,,-1.21474678682331 + 0.331294578224540i,,-0.0172778380040359 + 0.0183975356842255i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,1.21474678682331 - 0.110431526074847i,,1.21474678682331 - 0.110431526074847i,,-0.00766052039778258 + 0.0255094406972324i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.773020682523926 - 0.993883734673619i,,0.773020682523926 - 0.993883734673619i,,0.00180681429834380 + 0.0136051466605315i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,-0.0389377148793204 - 0.0251794551431408i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,-0.0591534603425806 - 0.0215685301791340i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,1.21474678682331 + 0.773020682523926i,,1.21474678682331 + 0.773020682523926i,,-0.0154165867762346 - 0.00449198481554397i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,-0.00852528387103905 + 0.00117502338461199i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.993883734673619 + 0.331294578224540i,,-0.993883734673619 + 0.331294578224540i,,-0.0413212251429705 + 0.0203282741221757i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,-0.0123054385736883 + 0.00911327053311470i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.331294578224540 - 0.993883734673619i,,-0.331294578224540 - 0.993883734673619i,,0.0202245904477267 - 0.0399819609364843i
-0.408248290463863 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.0242843984771479 - 0.0413209213095002i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,-0.0334520333221305 - 0.00672515734856036i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.552157630374233 - 0.773020682523926i,,0.552157630374233 - 0.773020682523926i,,0.0254587804703373 - 0.0177973131138394i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,1.21474678682331 + 0.552157630374233i,,1.21474678682331 + 0.552157630374233i,,0.00568648258760628 - 0.0314265620159021i
1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.110431526074847 + 0.552157630374233i,,-0.110431526074847 + 0.552157630374233i,,-0.0645776528337675 + 0.000204899396284167i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,-0.0376771013958224 + 0.00348048904265257i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-0.110431526074847 + 1.21474678682331i,,-0.110431526074847 + 1.21474678682331i,,0.0176903322629218 - 0.0151123240024209i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.993883734673619 + 0.773020682523926i,,0.993883734673619 + 0.773020682523926i,,0.00330232203257742 + 0.0182232771953518i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.993883734673619 - 0.552157630374233i,,-0.993883734673619 - 0.552157630374233i,,-0.00163912999213990 + 0.0192892786803079i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,0.0216202264805031 - 0.0564259564498461i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,0.00129227471108404 - 0.0536202234437849i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.773020682523926 + 0.773020682523926i,,-0.773020682523926 + 0.773020682523926i,,-0.0189734288221574 + 0.0320600563852154i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,0.0128070759018960 + 0.0297439450189007i
0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.331294578224540 - 0.110431526074847i,,-0.331294578224540 - 0.110431526074847i,,0.0289074155453171 - 0.0176020905402162i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,0.00657991035361057 + 0.0124940313898971i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-0.993883734673619 + 0.331294578224540i,,-0.993883734673619 + 0.331294578224540i,,0.00278910279533907 + 0.0253507148130677i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.552157630374233 + 0.773020682523926i,,-0.552157630374233 + 0.773020682523926i,,0.00771497623764820 - 0.0283721906039996i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.110431526074847 - 0.552157630374233i,,0.110431526074847 - 0.552157630374233i,,0.00260793658990684 - 0.0282916968536453i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.773020682523926 - 0.110431526074847i,,0.773020682523926 - 0.110431526074847i,,0.0117647250370476 + 0.0127263831571569i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,-0.00552427172801990 + 0.00552427172801990i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,-0.0437776155093875 - 0.000779888791805031i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.110431526074847 - 0.993883734673619i,,-0.110431526074847 - 0.993883734673619i,,-0.00414307716213476 + 0.0141520683510047i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.773020682523926 + 0.331294578224540i,,0.773020682523926 + 0.331294578224540i,,0.0441936213317852 + 0.0107784976387303i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,-0.00180059264339864 + 0.0126035358612468i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.773020682523926 - 0.773020682523926i,,0.773020682523926 - 0.773020682523926i,,-0.0202737559258081 - 0.00543175176277783i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,0.0153380925358251 - 0.0418858529352357i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-0.993883734673619 + 0.110431526074847i,,-0.993883734673619 + 0.110431526074847i,,-0.0212315216207526 - 0.00487970543191743i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.993883734673619 - 0.331294578224540i,,0.993883734673619 - 0.331294578224540i,,-0.0599676141038116 + 0.0288357058064270i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.331294578224540 + 0.993883734673619i,,0.331294578224540 + 0.993883734673619i,,-0.0185097661634574 - 0.0126502981704278i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.331294578224540 + 0.331294578224540i,,0.331294578224540 + 0.331294578224540i,,0.0115539329945182 + 0.00399562343401125i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.110431526074847 - 0.110431526074847i,,0.110431526074847 - 0.110431526074847i,,0.00230789525053009 + 0.0340416917701407i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,-0.0226322415917866 - 0.0196169854277177i
1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.110431526074847 - 1.21474678682331i,,0.110431526074847 - 1.21474678682331i,,-0.0555150382113601 - 0.00554644928327406i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,-0.0469135661156328 + 0.0405819340145852i
0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.552157630374233 + 0.773020682523926i,,-0.552157630374233 + 0.773020682523926i,,-0.0214107155528307 - 0.0136945632768557i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.993883734673619 + 0.552157630374233i,,-0.993883734673619 + 0.552157630374233i,,-0.0264152441691546 - 0.00548915135944750i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-0.331294578224540 + 1.21474678682331i,,-0.331294578224540 + 1.21474678682331i,,-0.0257687525776767 + 0.0507593282686017i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,-0.0238822119996453 - 0.0175567870290168i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.331294578224540 + 0.331294578224540i,,-0.331294578224540 + 0.331294578224540i,,-0.0228283508941237 - 0.0496736820879236i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.331294578224540 + 1.21474678682331i,,-0.331294578224540 + 1.21474678682331i,,0.00504885607855180 + 0.0190782292112123i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.773020682523926 + 0.773020682523926i,,0.773020682523926 + 0.773020682523926i,,0.0138058775170611 + 0.0131176822775218i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.552157630374233 + 0.552157630374233i,,-0.552157630374233 + 0.552157630374233i,,0.00679384323415773 - 0.0217857927610013i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,1.21474678682331 - 0.773020682523926i,,1.21474678682331 - 0.773020682523926i,,0.0151826617163432 - 0.0171144453917940i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.773020682523926 + 0.552157630374233i,,-0.773020682523926 + 0.552157630374233i,,-0.00576422460272264 - 0.0172363898081030i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.773020682523926 + 0.331294578224540i,,-0.773020682523926 + 0.331294578224540i,,-0.0176557665064050 + 0.0140359646571346i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-1.21474678682331 + 0.773020682523926i,,-1.21474678682331 + 0.773020682523926i,,0.00501655595796880 + 0.0233232554728770i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.552157630374233 - 0.993883734673619i,,-0.552157630374233 - 0.993883734673619i,,-0.0125385288793974 - 0.0290054100728228i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,0.331294578224540 + 0.773020682523926i,,0.331294578224540 + 0.773020682523926i,,-0.0213206371917280 - 0.0154843406773655i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,0.773020682523926 - 0.773020682523926i,,0.773020682523926 - 0.773020682523926i,,-0.00122150418835121 + 0.0282309145157594i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.773020682523926 - 1.21474678682331i,,-0.773020682523926 - 1.21474678682331i,,-0.0326356429606928 + 0.00392547149969140i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,1.21474678682331 + 0.110431526074847i,,1.21474678682331 + 0.110431526074847i,,-0.0223645711309385 + 0.00462000356087871i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.773020682523926 - 0.773020682523926i,,-0.773020682523926 - 0.773020682523926i,,0.0466787010480697 + 0.0359077662321294i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.773020682523926 + 0.552157630374233i,,0.773020682523926 + 0.552157630374233i,,0.0164186642136333 + 0.0105965269326116i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.331294578224540 - 0.552157630374233i,,0.331294578224540 - 0.552157630374233i,,-0.0301688486686761 - 0.0188359312753667i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.331294578224540 + 0.110431526074847i,,0.331294578224540 + 0.110431526074847i,,0.0186604044622696 + 0.000357968791420214i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.110431526074847 - 0.110431526074847i,,-0.110431526074847 - 0.110431526074847i,,0.0291452910732880 + 0.0207600545041472i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,-1.21474678682331 + 0.552157630374233i,,-1.21474678682331 + 0.552157630374233i,,-0.0197118233404805 + 0.00777901023376269i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.993883734673619 - 0.773020682523926i,,0.993883734673619 - 0.773020682523926i,,-0.0182628767413466 - 0.00700251426317017i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.110431526074847 - 1.21474678682331i,,0.110431526074847 - 1.21474678682331i,,0.0228598277966317 - 0.00249462210693740i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,-0.552157630374233 - 0.773020682523926i,,-0.552157630374233 - 0.773020682523926i,,0.0457009138391848 - 0.0192181291232678i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,0.0265279991388663 - 0.0334305347193273i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,-0.00491240018346598 - 0.00904238189447633i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.331294578224540 - 0.552157630374233i,,0.331294578224540 - 0.552157630374233i,,-0.00662959173852664 - 0.0236246499101778i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,-0.00300814366129847 - 0.0389701131697916i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,-0.110431526074847 - 0.773020682523926i,,-0.110431526074847 - 0.773020682523926i,,9.17694946809904e-05 + 0.0217762334851782i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-1.21474678682331 - 0.331294578224540i,,-1.21474678682331 - 0.331294578224540i,,0.0131139077284234 + 0.0161458733867527i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,0.0184329667918431 - 0.0441976503585332i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.552157630374233 + 0.552157630374233i,,0.552157630374233 + 0.552157630374233i,,0.0373154543095644 + 0.0127396995656463i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.552157630374233 + 0.552157630374233i,,0.552157630374233 + 0.552157630374233i,,0.0411194612024394 + 0.0511921071078520i
